,word,arabic,hungarian,indonesian,vietnamese,turkish,ico_vietnamese,ico_hungarian,ico_indonesian,ico_arabic,ico_turkish,ico_english,ico_rating_2022,ico_rating_2017,
8,by,قِبل,által,Err:520,bởi,arada,0.566343137297061,0.578460704658223,0.441972678100684,0.53921945770023,0.580259206342936,0.574653539811283,3,0.272727273,
13,from,بعيدا,elől,berasal,xa,ten,0.607623120276543,0.607525909120833,0.602791624555531,0.604981769135079,0.609684508383665,0.596525518694354,2.6,,
15,an,مجرد,ötletem,ide,tiếng,fikrim,0.55268148366421,0.574661874066528,0.56925273785637,0.528217863732302,0.57474294907398,0.558984554017046,2.6,-0.642857143,
21,this,الصباح,erről,pagi,nay,sefer,0.698071076158884,0.690290720035741,0.687266968497933,0.681318747656579,0.693336610064225,0.68626739077132,1.7,0.133333333,
24,one,واحده,Senki,satunya,số,kimsenin,0.670246450390375,0.663615076074026,0.659423268492756,0.652252778457889,0.656810586383834,0.664926213157149,3.90909090909091,1.846153846,
33,be,سنكون,légy,segera,ổn,olmalısın,0.58209955391728,0.603029310962441,0.627884970299417,0.607013574234374,0.634153735137502,0.59683268785555,3,0.384615385,
45,time,وقتك,Ideje,saatnya,Lần,vaktim,0.65979138316063,0.647845301347823,0.64711272767989,0.620925122383928,0.644161125044092,0.649707408950981,2.9,-0.7,
46,when,وعندما,először,kapan,Khi,yaşındayken,0.691303432392272,0.688847929892115,0.688905782544749,0.691578354233606,0.680886669553553,0.696446240116716,1.8,-1.125,
47,may,قَدْ,szabad,boleh,Có_thể,olabilirler,0.48257160020193,0.489275795674476,0.489756024822181,0.491007456553184,0.495328985016546,0.486618027755771,2.4,,
55,years,لسنوات,évekig,bertahun-tahun,suốt,yıllarca,0.473858285956539,0.47377035526639,0.487013124535206,0.478938305132009,0.485396518697229,0.480067131410898,,,
66,between,وبينك,közte,antara,giữa,aramda,0.46781692318662,0.473617928806703,0.473715466323335,0.466577517750389,0.478740806891647,0.477262056143586,2.9,,
70,states,ولايات,államok,menyatakan,bang,eyalette,0.44270185026631,0.465262604849272,0.479744866709812,0.474727450183606,0.479176370120918,0.474714086351602,,,
73,about,حيال,rólad,mengenai,kể,dersin,0.550859970733684,0.551301958223394,0.550384411590401,0.539374327033648,0.547312899103704,0.542714248219284,2,-0.1,
85,being,كونه,lény,bersikap,trở_thành,olmakla,0.668031244487793,0.663005035148951,0.678765405047476,0.65451707123776,0.683861658107062,0.672381155596687,2.7,,
91,people,ناس,emberekkel,rakyat,dân,İnsanlara,0.473283289058646,0.488047613823115,0.48735974772052,0.489458273192187,0.489490527401652,0.483295488791063,3.4,0.6,
93,family,عائلي,családoddal,keluarga,gia_đình,aileyiz,0.469823519012945,0.470728689282582,0.47162706370411,0.463618217719732,0.469896553683832,0.469272247924459,3.1,0.416666667,
94,south,الجنوب,délre,selatan,nam,güneyinde,0.424097262860829,0.427702024486712,0.419622937070442,0.422879889081874,0.420207763271662,0.424706561834034,,,
95,3,الـ3,3-as,3,chiều,üçü,0.457662492587772,0.489879524583522,0.468368968347231,0.501754620251346,0.467404070382941,0.454016025882141,,,
102,name,اسمكِ,nevedet,namamu,tên,İsmin,0.488080174817971,0.478855342747158,0.476122499721027,0.475175718094333,0.474049668832412,0.479100430390284,2.72727272727273,0.071428571,
108,would,أود,tenne,Mengapa,Tại_sao,isterim,0.606254593506715,0.614800974753838,0.615013949278029,0.599128160900581,0.618309455309846,0.588990871595946,,-2.1,
110,school,مدرستي,sulit,sekolah,trường,Okuldaki,0.428129012046017,0.439485476116193,0.4429218467782,0.44077268176719,0.445242582014835,0.436058529273225,4.27272727272727,-0.214285714,
112,high,مرتفعة,tépve,tinggi,cao,yükseğe,0.474807541549163,0.489549521727708,0.495918398738294,0.478013989579654,0.490423102823288,0.487770088340603,5.3,2.636363636,
114,county,المقاطعة,megyei,daerah,hạt,ilçe,0.357872709471043,0.36659244875946,0.364646534559822,0.358252262196869,0.364921188583227,0.362448694492374,2.45454545454545,-0.066666667,
122,can,يُمْكِنُ,tehetek,boleh,giúp,Yapamam,0.575342361274294,0.618606090303868,0.600848023069332,0.597824728705615,0.615436601360613,0.592305367807052,2.6,,
126,list,القائمة,listámon,daftar,danh_sách,Liste,0.395132051212108,0.402856676364955,0.390285758826844,0.398330895032844,0.391909070569992,0.392505817144601,3.4,,
128,10,العشرة,10-es,sepuluh,mười,22,0.464914467584002,0.472700864047735,0.436984240003098,0.459392609176678,0.494649243202853,0.486177793378536,,,
129,5,الخامسه,Babylon,5,chiều,Babil,0.454254788534632,0.441122116818582,0.492902480860712,0.416341431305751,0.439285650055085,0.477919896930328,,,
141,found,وجدناها,Megtalálták,menemukanku,phát_hiện,bulduğu,0.599408910025567,0.609412423761596,0.597477556830074,0.590761133308743,0.584228263200653,0.601211838877966,3.2,,
142,john,رِد,klotyóra,John,John,McEnroe,0.486137121114738,0.47319539051235,0.486218358771059,0.464408437377348,0.472985054946619,0.484071020311695,,,
147,war,حربا,Háborúban,perang,chiến_tranh,Savaşa,0.474990153794023,0.475880823345193,0.47809741481931,0.457278093787018,0.473900650582475,0.463908505895576,3.4,-0.230769231,
149,day,يومك,napod,harimu,ngày,Günde,0.542013189708028,0.535736715185781,0.534442834512539,0.522209024104379,0.531594170045007,0.539081870448719,3.36363636363636,-0.153846154,
154,de,جانيرو,márki,Tour,Rio,Gaulle,0.402540663993365,0.392658076964007,0.38443507101245,0.393149179995586,0.392566967427834,0.391865077770064,,,
157,best,جهدي,legjobbak,terbaik,hết_sức,iyisidir,0.485093666624005,0.483139783279464,0.49110852301691,0.488576506764564,0.493691604740023,0.480253362732658,3.6,,
162,team,فريقا,csapatod,tim,đội,takımız,0.487084189564045,0.489932761654964,0.48278238734642,0.498441606986798,0.482693709167475,0.484709790092743,2.7,0.307692308,
164,home,بالبيت,Itthon,Pulanglah,nhà,evim,0.529446832420265,0.540891371168301,0.537963953391555,0.555898448660581,0.55055541898604,0.556807767104044,4.4,2,
165,five,لخمسة,öten,lima,5,dakikaya,0.478355051405353,0.526838784923549,0.514527919049085,0.518523594624594,0.521466890813355,0.523012030645623,3.3,0.769230769,
169,history,التاريخ,történelmet,sejarah,lịch_sử,geçmişimiz,0.497044582918828,0.522672884842799,0.513979000622077,0.510246092907958,0.515532028379444,0.517960895059656,,,
176,back,للخلف,visszajön,Kembalilah,Quay,çekilin,0.592701900200461,0.580151417305913,0.563952365458667,0.598083624130233,0.586584514320597,0.593483726901945,3.2,0.4,
178,life,بحياتك,életedet,menjalani,cuộc_sống,Hayatın,0.631335863153131,0.625467578353543,0.632386837058191,0.616978455427369,0.633412841070029,0.623915048063133,4,0.333333333,
187,use,تستعمل,hasznát,menggunakannya,dùng,kullanırım,0.64090324588376,0.678951158240585,0.701375289510534,0.669602230814493,0.68997664983454,0.663864846334522,2.7,1,
188,left,الأيسر,Balra,kiri,trái,Sola,0.548639997982993,0.562716229648582,0.55205412107276,0.553804090769611,0.566463557674187,0.574064733772379,2.81818181818182,0.454545455,
194,15,الـ15,15-ös,berumur,độ,15,0.492829299150431,0.471882704570157,0.429006687288733,0.494957954261457,0.472649541016087,0.461518685041479,,,
203,did,فعلنا,csináltad,Kapan,Làm_sao,yaptık,0.527759275680781,0.537353510986047,0.527246619210911,0.512795613666337,0.530731594433349,0.52550377395244,,0.466666667,
206,although,وبالرغم,habár,meskipun,mặc_dù,karşın,0.694347323986608,0.703075462392102,0.720788588160968,0.710109371715628,0.715725043755443,0.691177337685911,2.9,,
218,members,لأعضاء,tagokat,anggota,thành_viên,üyeler,0.502454700940796,0.50227918406497,0.497575301016507,0.499076339305187,0.501029763869479,0.495528212275506,,,
